cliente_id,oferta_recomendada_id,ultimo_motivo_rechazo_movil,dias_desde_ultimo_rechazo_movil,n_reclamos,dias_mora_prom,motivo_rechazo_misma_oferta,dias_desde_rechazo_misma_oferta
CLI000008,OF003,no_necesita,31.0,2.0,15.333333333333334,,
CLI000019,OF002,,,0.0,15.5,,
CLI000058,OF004,otro,61.0,0.0,13.166666666666666,otro,61.0
CLI000059,OF002,,,3.0,8.833333333333334,,
CLI000074,OF002,,,0.0,20.33333333333333,,
CLI000088,OF002,precio,61.0,0.0,0.0,,
CLI000092,OF004,ya_tiene_similar,31.0,0.0,11.666666666666666,,
CLI000171,OF002,,,0.0,28.33333333333333,,
CLI000197,OF003,no_necesita,0.0,0.0,9.166666666666666,no_necesita,0.0
CLI000233,OF004,,,1.0,26.33333333333333,,
CLI000237,OF003,no_confia,31.0,0.0,2.833333333333333,,
CLI000262,OF003,no_confia,61.0,2.0,17.833333333333332,,
CLI000263,OF004,,,3.0,7.333333333333333,,
CLI000303,OF004,precio,31.0,0.0,13.833333333333334,,
CLI000319,OF004,,,3.0,15.666666666666666,,
CLI000363,OF002,,,0.0,27.666666666666668,,
CLI000370,OF004,mal_momento,61.0,3.0,15.5,,
CLI000385,OF003,,,3.0,39.333333333333336,,
CLI000388,OF004,,,0.0,16.833333333333332,,
CLI000401,OF003,,,3.0,18.666666666666668,,
CLI000494,OF002,,,0.0,20.5,,
CLI000506,OF004,ya_tiene_similar,61.0,0.0,16.5,ya_tiene_similar,61.0
CLI000562,OF002,,,0.0,15.666666666666666,,
CLI000590,OF003,precio,0.0,3.0,14.333333333333334,,
CLI000591,OF002,,,0.0,19.5,,
CLI000666,OF004,,,0.0,15.0,,
CLI000678,OF004,otro,61.0,3.0,4.666666666666667,,
CLI000693,OF002,no_confia,61.0,1.0,0.0,no_confia,61.0
CLI000707,OF002,no_confia,0.0,3.0,38.5,,
CLI000716,OF004,,,0.0,17.666666666666668,,
CLI000724,OF004,,,2.0,15.166666666666666,,
CLI000738,OF004,no_necesita,61.0,2.0,0.0,no_necesita,61.0
