cliente_id,ranking_oferta,oferta_id,nombre_oferta,precio_mensual,ahorro_pct,gb_incluidos,canal,score_propension_lr,score_ranking_nbo
CLI000013,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8139409757523745,0.8142632358774896
CLI000013,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8067859828706229,0.8142632358774896
CLI000013,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8096062353017326,0.8136753499598215
CLI000041,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7849243922935945,0.7840949654090273
CLI000041,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7769593229011902,0.7840949654090273
CLI000041,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7800962742733301,0.7834369881797503
CLI000048,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8190228211312628,0.8178083963148468
CLI000048,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8120181192430552,0.8178083963148468
CLI000048,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8147795337996458,0.8176812982653605
CLI000053,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7991635879589349,0.7846762330203391
CLI000053,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7915858324382921,0.7846762330203391
CLI000053,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7945714605273406,0.7835186041054947
CLI000060,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7795253896065005,0.772406604053515
CLI000060,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7843625770099756,0.772406604053515
CLI000060,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7763826289307003,0.772406604053515
CLI000073,1,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.7998105058116511,0.8078856936999201
CLI000073,2,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8043143625828717,0.8068350549532912
CLI000073,3,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.7968815557035336,0.8068350549532912
CLI000084,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8179903777890944,0.8279140168079885
